sentences,labels,lang
鲸鲨基因组揭示了脊椎动物基因家族进化的模式,genomics,0
CHD4-NURD controls mouse neonate spermatogonia survival,developmental biology,0
MERTK on mononuclear phagocytes regulates T cell antigen recognition at autoimmune and tumor sites,immunology,0
Label-retention expansion microscopy,bioengineering,0
A novel metric reveals previously unrecognized distortion in dimensionality reduction of scRNA-Seq data,bioinformatics,0
Epithelial-Mesenchymal Plasticity is regulated by inflammatory signalling networks coupled to cell morphology.,systems biology,1
具有树突状平台电位的神经计算模型的最小模型。,neuroscience,1
Mendelian随机研究脂蛋白亚构件在冠状动脉疾病中的作用,genetics,0
DNA end-resection in highly accessible chromatin produces a toxic break,cell biology,0
Mechanics of MTOC clustering and spindle positioning in budding yeast Cryptococcus neoformans,biophysics,1
结菌素E1与TOLC结合为开放铰链以穿透外膜,biophysics,1
Aquatic biodiversity enhances multiple nutritional benefits to humans,ecology,1
ORP5/8 AND MIB/MICOS LINK ER-MITOCHONDRIA AND INTRAMITOCHONDRIAL CONTACTS FOR NON-VESICULAR TRANSPORT OF PHOSPHATIDYLSERINE,cell biology,1
From heterogenous morphogenetic fields to homogeneous regions as a step towards understanding complex tissue dynamics,developmental biology,0
可移植SEQ：从所有RNA聚合酶得出的转录起始位点的全面确定。,genomics,0
Estimates of genetic load suggest frequent purging of deleterious alleles in small populations,genomics,1
映射单细胞的转录组矢量场,systems biology,0
基因组和实验证据表明，对变体淋巴瘤激酶（ALK）激酶结构域交替进行转录启动不会预测单一剂对ALK抑制剂的敏感性。,bioengineering,1
Blood meal analysis of tsetse flies (Glossina pallidipes: Glossinidae) reveals higher host fidelity on wild compared with domestic hosts,evolutionary biology,1
人腹前颞皮层中深，分布和动态语义代码的证据,neuroscience,1
Perifornical Area Urocortin-3 Neurons Promote Infant-directed Neglect and Aggression,neuroscience,0
墨西哥山洞的眼睛形态发生,developmental biology,1
桅杆播种可促进散射的演变,ecology,0
RNA-Seq的全长同工型定量的比较评估,bioinformatics,1
"Genetic basis of growth, phenology and susceptibility to biotic stressors in maritime pine",genetics,1
一级感觉运动皮层（PMD，M1和S1）的价和动机强度的标准化,neuroscience,0
Reconstructing contact network structure andcross-immunity patterns from multiple infection histories,ecology,1
Dynamic Ins2 gene activity defines β cell maturity states,cell biology,1
Immune-based mutation classification enables neoantigen prioritization and immune feature discovery in cancer immunotherapy,cancer biology,0
不断发展的多效性和突变相关性对性状差异的相对影响,evolutionary biology,0
推断人群之间突变适应性效应的全基因组相关性,evolutionary biology,0
"Analysis of the Human Connectome Data Supports the Notion of a ""Common Model of Cognition"" for Human and Human-Like Intelligence",neuroscience,0
比较CPU和GPU贝叶斯从扩散MRI的纤维取向的估计值,neuroscience,0
Adult dentate gyrus neurogenesis: a functional model,neuroscience,1
根据人类Connectome项目数据库,neuroscience,0
Reactive oxygen species prevent lysosome coalescence during PIKfyve inhibition,cell biology,0
磺胺溶液的晶体结构拓扑异构酶III揭示了一种新型的羧基 - 末端锌指域对于衰减活性必不可少的,microbiology,1
Lignin-based resistance to Cuscuta campestris parasitism in Heinz resistant tomato cultivars,plant biology,0
CT-FOCS：一种推断细胞类型特异性增强器促销图的新方法,bioinformatics,1
Apple ripening is controlled by a NAC transcription factor,plant biology,0
Minor deviations from randomness have huge repercussions on the functional structuring of sequence space,evolutionary biology,0
A neuromechanical model of multiple network rhythmic pattern generators for forward locomotion in C. elegans,neuroscience,1
能源景观分析阐明了跨环境梯度的生态社区的多稳定性,ecology,1
渗透性野生和非野马的肠道微生物组,microbiology,1
Shared genetic underpinnings between genetic generalized epilepsy and background EEG oscillations,genetics,1
经过几天的培训，隐式视觉运动适应仍有限制,neuroscience,1
协会学习中提示的子采样,animal behavior and cognition,0
有氧甲氧营养：甲基化芳基化合物的甲基化芳基杆菌生长,microbiology,0
白冠Manakin Pseudopipra Pipra（Aves：pipridae）的基因组植物地理学从安第斯山脉中照亮了大陆尺度的辐射,evolutionary biology,1
"Matrix-Assisted Laser Desorption-Ionization Time-of-Flight mass spectrometry using a custom-made database, biomarker assignment, or mathematical classifiers does not differentiate Shigella spp. and Escherichia coli",microbiology,1
Better tired than lost: turtle ant trail networks favor coherence over shortest edges,ecology,1
阐明工程机械敏感通道的pH激活的分子基础,biophysics,0
Pompeii蠕虫Alvinella Pompejana及其变异适应性的PGM-1基因座的平衡多态性仅受链接位点的两个QE突变的控制,evolutionary biology,0
多种概率模型从蛋白质序列数据中提取特征，并解析了非常不同蛋白质家族的功能多样性,bioinformatics,1
Assigning metabolic rate measurements to torpor and euthermia in heterothermic endotherms: torpor a new package for R.,physiology,0
Non-cell autonomous OTX2 transcription factor regulates anxiety-related behaviors in the mouse,neuroscience,1
钙 - 可渗透的AMPA受体介导了定时依赖性的LTP，该LTP在Schaffer Carteratral-CA1突触中引起的低重复重合前和突触后活性引起,neuroscience,1
内猫支持成年果蝇附属腺的组织生长和再生,developmental biology,0
从蓝色出来；叶血管束鞘的光胞蛋白介导叶子液压电导的蓝光调节,plant biology,1
果蝇中肠道干细胞增殖和分化的免疫调节。,immunology,1
Molecular Basis of the Activation and Dissociation of Dimeric PYL2 Receptor in Abscisic Acid Signaling,plant biology,0
放牧行为可以调节社区国家的大规模模式,ecology,1
具有多样性小鼠的高分辨率QTL映射鉴定了影响肠道微生物组组成的遗传变异,genetics,1
解决过渡率估计中的嵌入性问题,biophysics,1
"Loss of intermediate filament IFB-1 reduces mobility, density and physiological function of mitochondria in 	C. elegans sensory neurons",cell biology,0
The Human Motor Cortex Contributes to Gravity Compensation to Maintain Posture and During Reaching,neuroscience,1
Humans can navigate complex graph structures acquired during latent learning,animal behavior and cognition,0
在MROS产生过程中，线粒体裂变响应于肺炎链球菌,immunology,0
必不,microbiology,1
宿主和寄生虫多态性数据全基因组研究的跨物种关联统计数据,evolutionary biology,0
Protein yield is tunable by synonymous codon changes of translation initiation sites,bioinformatics,0
在精神分裂症中，表观遗传年龄与年龄和性别特异性作用加速，并且与多基因疾病风险有关,genomics,1
选择选择性序列相对于伏隔核的丘脑输入而占主导地位，为信用分配提供了潜在的基板,neuroscience,1
scAEspy: a tool for autoencoder-based analysis of single-cell RNA sequencing data,bioinformatics,1
The PRMT7-dependent methylation of shank2 modulates invasion-proliferation switching during breast cancer metastasis,cancer biology,1
Distinct neurocomputational mechanisms support informational and normative conformity,neuroscience,0
Cell-scale biophysical determinants of cell competition in epithelia,biophysics,0
将全球和局部连接的变化与阿尔茨海默氏病中的痴呆症和靶向基因表达有关,bioinformatics,0
Endosomal explosion induced by hypertonicity,biophysics,1
CrowdGO: machine learning and semantic similarity guided consensus Gene Ontology annotation,bioinformatics,1
分类基序靶向乌尔米亚瓜病毒的运动蛋白到反式高尔基网络和质量植物,plant biology,1
Transcriptome computational workbench (TCW): analysis of single and comparative transcriptomes,bioinformatics,1
Unfolding and identification of membrane proteins in situ,biophysics,0
Decoding the sound of hand-object interactions in primary somatosensory cortex,neuroscience,0
Genomic insights into the Archaea inhabiting an Australian radioactive legacy site,microbiology,0
用于分歧分析OMICS数据的R软件包,bioinformatics,1
Cholesterol recognition motifs in the transmembrane domain of the tyrosine kinase receptor family: the case for TRKB,neuroscience,0
塔林 - 元素蛋白前复合通过加速力传播和vinculin募集来驱动粘附成熟,cell biology,1
遗传编码的细胞死亡指标（GEDI），以检测早期不可逆的对神经变性的承诺,neuroscience,0
THE COSTS AND BENEFITS OF BASAL INFECTION RESISTANCE VS DIVERSE IMMUNE PRIMING RESPONSES IN AN INSECT,evolutionary biology,0
常见的乳腺癌风险基因座倾向于不同的肿瘤亚型,genetics,0
Analysis of eukaryotic lincRNA sequences reveals signatures of repressed translation in species under strong selection,genomics,1
"Priors, population sizes, and power in genome-wide hypothesis tests",genetics,1
CXCR4允许T细胞急性淋巴细胞白血病从JAK1/2和BCL2抑制通过CNS浸润,cancer biology,0
对点突变的代谢反应揭示了体内酶活性和表型调节的原理,biophysics,0
环境和遗传因素导致新生儿小鼠发声的非典型发展：使用一种新型无监督的机器学习方法对神经发育障碍模型的分析,neuroscience,1
Decoding the molecular landscape of the developing spatial processing system and production of entorhinal stellate cell-like cells by a direct programming approach.,developmental biology,0
Adaptational lags during periods of environmental change,evolutionary biology,1
aquila_stlfr：二倍体基因组组装基于stlfrinked读取的结构变体套件,bioinformatics,1
GABA levels in ventral visual cortex decline with age and are associated with neural distinctiveness,neuroscience,0
Using target capture to address conservation challenges: population-level tracking of a globally-traded herbal medicine,genomics,0
Quantitative Single-Cell Proteomics as a Tool to Characterize Cellular Hierarchies,systems biology,1
Wheat inositol pyrophosphate kinase TaVIH2-3B modulates cell-wall composition for drought tolerance in Arabidopsis,plant biology,0
减数分裂芽的酵母菌组装捆绑的三重螺旋，而不是梯子,cell biology,0
Why are children so distractible? Development of attentional capacities and motor control from childhood to adulthood.,neuroscience,1
海马的Fasciola Cinereum子区域对于获取视觉上下文记忆很重要,neuroscience,1
Motif elucidation in ChIP-seq datasets with a knockout control,bioinformatics,1
人皮层锥体神经元之间的多样性通过其下垂电流和频率偏好揭示,neuroscience,1
使用KDDANET的介导已知药物疾病关联的隐藏基因的全基因组发现,bioinformatics,0
Adaptation and correlated fitness responses over two time scales in Drosophila suzukii populations evolving in different environments,evolutionary biology,0
多尺度系统基因组学分析可以预测与规范性人类认知变化有关的途径，细胞类型和药物靶标,genomics,1
白质与年龄有关的差异：使用基于FIXEL的分析了解基于张量的结果,neuroscience,1
所选野生大米的高光合作用率是由叶解剖学驱动的,plant biology,0
涉及CNOT3，Aurora B和ERK的信号轴可促进ES细胞的肠系死分化，以响应FGF2和BMP4,developmental biology,1
药物相关歧视性刺激的上下文灭绝无法减弱恒河猴的药物选择,neuroscience,0
从观察数据中重建植物 - 基督网络网络,ecology,0
Deciphering Legionella effector delivery by Icm/Dot secretion system reveals a new role for c-diGMP signaling,microbiology,0
"Sawfish, Read in Tooth and Saw: rostral teeth as endogenous chemical records of movement and life-history in a critically endangered species",ecology,0
Hybrid incompatibility is stronger in the presence of transposable elements in the Drosophila virilis clade,evolutionary biology,0
"Conformation-dependent influences of hydrophobic amino acids in two in-register parallel β-sheet amyloids, an α-synuclein amyloid and a local structural model of PrPSc",molecular biology,0
Lineage-specific control of convergent differentiation by a Forkhead repressor,developmental biology,0
Phylogenomic Testing of Root Hypotheses,evolutionary biology,1
nlimed：生物仿真模型中的模型意义发现的自然语言接口,bioinformatics,1
Population-level sensitivity to landscape variables reflects individual-based habitat selection in a woodland bat species,ecology,1
"The genetic landscape of Ethiopia: diversity, intermixing and the association with culture",genetics,1
亲属歧视促进枯草芽孢杆菌中无关菌株之间的水平基因转移,microbiology,0
Protein Design and Variant Prediction Using Autoregressive Generative Models,systems biology,0
简短闪光的整合在人类昼夜节律系统上的强度和持续时间变化,neuroscience,1
Mechanisms of distributed working memory in a large-scale network of macaque neocortex,neuroscience,0
绿色谱系II中的昼夜节律蛋白质调节。时钟基因回路控制拟南芥中的磷酸峰。,systems biology,1
IRG1控制宿主对限制结核分枝杆菌感染的反应,immunology,0
"Stress generation, relaxation and size control in confined tumor growth",biophysics,1
Antidepressant drugs act by directly binding to TRKB neurotrophin receptors,neuroscience,0
Lab-AID（数据的实验室自动询问）：从生物学实验中可视化多层数据的交互式Web应用程序,bioinformatics,1
故事聆听期间的高级认知反映在神经活动模式中的高阶动态相关性中,neuroscience,1
CAPN15敲除小鼠的MRI和CAPN15分布的分析揭示了可能在脑发育和可塑性中的作用,neuroscience,1
拉出细胞周期的串：一种非编码RNA，CCNA，调节caulobacter Crescentus中的主调节器CTRA和GCRA,microbiology,0
Spatial and phylogenetic structure of Alpine stonefly community assemblages across seven habitats using DNA-species,evolutionary biology,1
Single-trial dynamics of competing reach plans in the human motor periphery,neuroscience,1
Deletion of a non-canonical regulatory sequence causes loss of Scn1a expression and epileptic phenotypes in mice,neuroscience,1
复杂环境的表示：海马的角色,neuroscience,1
在视觉工作记忆任务中没有货币奖励的影响,animal behavior and cognition,1
Learning Divisive Normalization in Primary Visual Cortex,neuroscience,0
An Erwinia amylovora inducible promoter for intragenic improvement of apple fire blight resistance,bioengineering,1
Most cancers carry a substantial deleterious load due to Hill-Robertson interference,evolutionary biology,1
More than Two Populations of Microtubules Comprise the Dynamic Mitotic Spindle,cell biology,1
注意力眨眼期间感知意识的两个面孔：逐渐和离散,neuroscience,0
菌株的机械转导可调节新转化的上皮细胞中的侵入性表型,biophysics,0
压力反应的行为和内分泌成分的进化遗传整合,evolutionary biology,1
Discovery of a small molecule having both potent anti-fibrotic and anti-inflammatory capabilities,cell biology,1
B-SOiD: An Open Source Unsupervised Algorithm for Discovery of Spontaneous Behaviors,neuroscience,0
考虑RNA聚合酶异质性的核算揭示了状态切换和两个不同的长期回溯状态通过裂解逃脱,biophysics,1
天然膜中的半胱氨酸交联建立了IRE1的跨膜结构,biochemistry,0
在熟练的前肢运动中至关重要的新皮层输出在投影细胞类别之间分布,neuroscience,0
表征情绪调节的网络结构神经发育,neuroscience,0
In silico stress fibre content affects peak strain in cytoplasm and nucleus but not in membrane for uniaxial substrate stretch,biophysics,0
团圆自由尾蝙蝠（Mormopterus francoismoutoui）,ecology,1
Mesoamerica is a cradle and the Atlantic Forest is a museum of Neotropical butterfly diversity: Insights from the evolution and biogeography of Brassolini (Lepidoptera: Nymphalidae),evolutionary biology,0
"Size matters, so does condition: the use of a body condition index reveals the costs and benefits of structural body size in an insect.",ecology,1
Spatio-temporal control of DNA replication by the pneumococcal cell cycle regulator CcrZ,microbiology,1
A unique mode of nucleic acid immunity performed by a single multifunctional enzyme,microbiology,1
自愿运动命令在受限的感觉运动β节奏阶段优先发布,neuroscience,1
Neuronal population dynamics during motor plan cancellation in non-human primates,neuroscience,0
自然主义视觉刺激期间皮质丘脑反馈的强大影响,neuroscience,1
中国电话肺复苏的影响因素：基于管理观点的定性探索,systems biology,1
Nuclear bundle/cable containing actin during yeast meiosis,cell biology,0
Environmentally sensitive hotspots in the methylome of the early human embryo,genomics,1
通过多路复用克服视觉皮层中的粗制编码：当刺激束时，神经相关性差异很大,neuroscience,1
Hackflex: low cost Illumina Nextera Flex sequencing library construction,genomics,1
Mechanism of Interaction of BMP and Insulin Signaling in C. elegans Development and Homeostasis,cell biology,1
The lipid kinase PI3Kα is required for the cohesion and survival of cancer cells disseminated in serous cavities.,cancer biology,1
HYPK scaffolds the Nedd8 and LC3 proteins to initiate formation of autophagosome around polyneddylated huntingtin exon1 aggregates,cell biology,0
KIAA0319影响纤毛长度，细胞迁移和机械细胞基底相互作用,cell biology,1
V4中的色相调谐曲线随着视觉​​上下文的方式变化,neuroscience,1
保守的表达签名预测生长速率并揭示细胞和谱系特异性差异,systems biology,0
遗传和表观遗传学特征。水2000种的快速辐射,plant biology,0
凝胶素和dcryab在肌肉身份基因的下游作用，并有助于防止果蝇中的肌肉分裂和分支,developmental biology,0
Pan-genome analysis identifies intersecting roles for Pseudomonas specialized metabolites in potato pathogen inhibition,microbiology,1
SPF45/RBM17依赖性，但不依赖于U2AF，在人类短篇内含子的独特子集中剪接,molecular biology,1
X人胎盘中的X染色体灭活是斑驳的，与成人组织不同,genomics,0
人葡萄糖转运蛋白促进的葡萄糖扩散路径的定量表征1,biophysics,1
海马和前额叶等级的预测性表示,neuroscience,0
Oxidation shuts down an auto-inhibitory mechanism of von Willebrand factor,biophysics,1
Evolution and development of male-specific leg brushes in Drosophilidae,evolutionary biology,1
Motor training improves coordination and anxiety in symptomatic Mecp2-null mice despite impaired functional connectivity within the motor circuit,neuroscience,1
Connectome Constrained Graphical Models of MEG Coherence,neuroscience,0
人类生长激素受体的古代多态性缺失的性别表型效应和进化史,evolutionary biology,0
幼儿营养不良对成人脑功能的影响：ERP研究,neuroscience,0
Cortico-striatal activity driving compulsive reward seeking,neuroscience,0
肺acini在产后大鼠肺发育过程中表现出复杂的变化,physiology,1
Visualization and Analysis of Whole Depot Adipose Tissue Neural Innervation,neuroscience,1
Spatially-explicit modeling improves empirical characterization of dispersal,ecology,1
longfin causes cis-ectopic expression of the kcnh2a ether-a-go-go K+ channel to autonomously prolong fin outgrowth,developmental biology,1
Ancestral mitochondrial apparatus derived from the bacterial type II secretion system,evolutionary biology,1
慢性抑制棕色脂肪组织后，冷暴露会促进体重增加和肥胖,physiology,1
A parametrized computational framework for description and design of genetic circuits of morphogenesis based on contact-dependent signaling and changes in cell-cell adhesion,synthetic biology,1
非编码RNA内源性地统治癌性调节领域，而蛋白质则控制正常,genomics,1
人类巨细胞病毒感染的功能性单细胞基因组学,systems biology,0
Polygenic adaptation after a sudden change in environment,evolutionary biology,0
最小DNA电子转移催化剂由Chaotropic离子切换,synthetic biology,0
范围扩展转移不断发展的种群中的克隆干扰模式,evolutionary biology,1
Lytic infection with murine gammaherpesvirus 68 activates host and viral RNA polymerase III-dependent promoters to enhance non-coding RNA expression,microbiology,1
Representation of Task Structure in Human Hippocampus and Orbitofrontal Cortex,neuroscience,0
Replacement of microglia by brain-engrafted macrophages provide protection against concussive injury,neuroscience,1
"Context-invariant neural dynamics underlying the encoding of Bayesian uncertainty, but not confidence",neuroscience,1
Platinum chemotherapy induces lymphangiogenesis in cancerous and healthy tissues that can be prevented with adjuvant anti-VEGFR3 therapy,cancer biology,0
在没有性的情况下，赋予性别的好处,evolutionary biology,0
冷适应蝇种群中的平行和人群特异性基因调节演化,evolutionary biology,1
Reduction of insulin/IGF-1 receptor rejuvenates immunity via positive feedback circuit,genetics,1
Structural and Dynamic Insights Into α-Synuclein Dimer Conformations,biophysics,1
人类细胞的接近依赖性生物素化图：交互式网络资源,molecular biology,1
CDR3 binding chemistry controls TCR V-domain rotational probability and germline CDR2 'scanning' of polymorphic MHC,immunology,1
Estrogen Drives Melanocortin Neurons To Increase Spontaneous Activity and Reduce Sedentary Behavior,neuroscience,1
An experimentally-derived measure of inter-replicate variation in reference samples: the same-same permutation methodology,biochemistry,1
糖主导着海草根际,microbiology,1
Multiphoton imaging of neural structure and activity in Drosophila through the intact cuticle,neuroscience,0
在体外神经元 - 胃细胞种群的多层网络模型揭示了MGLUR5抑制作用是在创伤性损伤后保护性的,neuroscience,0
光学材料特性的视觉歧视：一项大规模研究,neuroscience,0
High and stable ATP levels prevent aberrant intracellular protein aggregation,cell biology,1
高分辨率，早期小鼠和人肝芽形态发生的动态成像在三个方面,developmental biology,1
Eliminating accidental deviations to minimize generalization error and maximize replicability: applications in connectomics and genomics,neuroscience,1
复杂任务信息的顺序有效的神经填充编码,neuroscience,0
脑电图电极数量和放置对言语神经跟踪测量的影响,neuroscience,0
依赖细胞周期的活动应力驱动上皮重塑,biophysics,0
Telemetry reveals rapid duel-driven song plasticity in a naturalistic social environment,animal behavior and cognition,0
复制时间和表观遗传修饰的突变特征通过突变光谱的全球差异持续存在,genomics,1
Reconstructing the history of variation in effective population size along phylogenies.,evolutionary biology,0
Dynamic interactions and intracellular fate of label-free GO within mammalian cells: role of lateral sheet size,cell biology,0
Efficient and robust coding in heterogeneous recurrent networks,neuroscience,1
等距膝关节伸展期间招募的肌肉的本体感受反馈的神经回路模型,neuroscience,0
海洋硅硅硅硅质组中的接近蛋白质组学揭示了推定的细胞表面至绿色的铁路运输途径,cell biology,1
Parallel Factor Analysis for multidimensional decomposition of fNIRS data,neuroscience,1
淋巴卵泡形成和人类疫苗接种反应在A-A-Chip中概括,immunology,0
The Role of State Uncertainty in the Dynamics of Dopamine,neuroscience,1
DeepImageJ：一个用户友好的环境，可以在ImageJ中运行深度学习模型,bioengineering,1
"Reference transcriptome data in silkworm, Bombyx mori",genomics,1
细胞外囊泡周围的功能性电晕增强了皮肤再生过程中的血管生成和免疫细胞中的信号,cell biology,0
Integrating multi-omics data through deep learning for accurate cancer prognosis prediction,bioinformatics,1
通过时间和空间药物异质性了解HIV多药的抗性模式,evolutionary biology,0
Evolutionary impact of size-selective harvesting on shoaling behavior: Individual-level mechanisms and possible consequences for natural and fishing mortality,ecology,0
Fine human genetic map based on UK10K data set,evolutionary biology,0
Gene Ontology Meta Annotator for Plants (GOMAP),bioinformatics,1
AMR-用于使用抗菌耐药性数据的R包装,microbiology,0
费舍尔定理中的警告表明健身可以改变而无需突变,evolutionary biology,0
Effective mechanical potential of cell-cell interaction explains basic structural units of three-dimensional morphogenesis,biophysics,1
在听觉皮层中响应的基础网络动力学,neuroscience,0
低维学习的特征空间量化了人声曲目中的个体和群体差异,animal behavior and cognition,0
在自由移动猕猴觅食期间的战略变量的人口编码,neuroscience,0
使用单细胞转录组数据的特定标记组合，完全自动化和超快速的细胞类型识别,systems biology,0
Hybridization disrupts growth-defense strategies and reveals trade-offs masked in unadmixed populations of a perennial plant,evolutionary biology,0
Information Enhanced Model Selection for Gaussian Graphical Model with Application to Metabolomic Data,bioinformatics,0
整个基因组测序和SNP面板的应用揭示了狮子的主要进化谱系和基因组多样性（Panthera Leo）,evolutionary biology,1
从脉冲中学习心脏动作：ECG波形从PPG中重建,bioinformatics,0
人脑室肿瘤结节性异位症的间隔,pathology,0
A CTP-dependent gating mechanism enables ParB spreading on DNA in Caulobacter crescentus,microbiology,1
"A Francisella tularensis L,D-carboxypeptidase plays important roles in cell morphology, envelope integrity, and virulence.",microbiology,0
学习学习持续修改内嗅 - 海马兴奋性抑制性子电路,neuroscience,1
男性生殖器叶形态会影响果蝇pachea中的交配的机会,evolutionary biology,0
基于记忆的情绪障碍理论,neuroscience,0
在各种人肠道细菌中发现的保守酶会干扰抗癌药物功效,microbiology,0
Targeted gene correction and functional recovery in achondroplasia patient-derived iPSCs,developmental biology,0
过多的Wox5相互作用和亚核定位控制拟南芥根干细胞维持,plant biology,0
带有Riboplate-seq的高通量翻译分析,systems biology,0
通过深度学习将基因表达纳入染色质访问性的全基因组预测,bioinformatics,0
Identification of neural oscillations and epileptiform changes in human brain organoids,neuroscience,0
Coordination through inhibition: control of stabilizing and updating circuits in spatial orientation working memory,neuroscience,0
The NTD of Eukaryotic Initiation Factor 4B Drives Yeast Translational Control in Response to Urea,molecular biology,0
十个易位1介导的DNA羟甲基是小鼠脑中需要的髓鞘形成和髓鞘形成的,neuroscience,0
腺嘌呤甲基化和遗传突变在适应不同温度的serratia marcescens中的作用,evolutionary biology,1
宽带信号而不是频率特定的节奏是灵长类动物听觉皮层中预测错误的基础,neuroscience,1
Cerebellar lesions disrupt spatial and temporal visual attention.,neuroscience,0
宿主 - 微生物组蛋白 - 蛋白质相互作用捕获人类疾病的机制,microbiology,1
物种丰富度增加了健身差异，但不会影响利基差异,ecology,1
Non-selective response inhibition in Go/NoGo task: Bayesian analysis of fMRI data,neuroscience,0
Activation of G-protein coupled estradiol receptor 1 in the dorsolateral striatum attenuates preference for cocaine and saccharin in male but not female rats,neuroscience,1
NHR-8 regulated P-glycoproteins uncouple xenobiotic stress resistance from longevity in chemosensory C. elegans mutants,genetics,1
Distinct roles for dopamine clearance mechanisms in regulating behavioral flexibility,neuroscience,0
使用茶袋指数来确定两种人类药物如何影响水生微生物分解垃圾。,microbiology,0
CloneSig: Joint inference of intra-tumor heterogeneity and mutational signatures' activity in tumor bulk sequencing data,bioinformatics,1
A rationally designed oral vaccine induces Immunoglobulin A in the murine gut that directs the evolution of attenuated Salmonella variants,immunology,1
通过微管和RAB11依赖的顶端转运调节顶端狭窄,developmental biology,0
Ebselen attenuates mycobacterial virulence through inhibition of ESX-1 secretion,microbiology,0
Low-disturbance Farming Regenerates Healthy Deep Soil towards Sustainable Agriculture,ecology,0
Population structure of chum salmon and selection on the markers collected for stock identification,evolutionary biology,0
Stability of neocortical synapses across sleep and wake,neuroscience,1
前额叶深度投影神经元通过持续反馈监视实现认知灵活性,neuroscience,0
Dietary fat promotes antibiotic-induced Clostridioides difficile mortality in mice,microbiology,0
阅读电路中的自动化,neuroscience,1
使用“ Yin-Yang编解码器”系统进行实用且强大的基于DNA的数据归档,synthetic biology,0
Mutations in Auxilin cause parkinsonism via impaired clathrin-mediated trafficking at the Golgi apparatus and synapse,neuroscience,0
基因组背景控制对假单胞菌中大质质剂时对纳利迪酸的反应,microbiology,1
Attenuated directed exploration during reinforcement learning in gambling disorder,neuroscience,1
LiGIoNs: A Computational Method for the Detection and Classification of Ligand-Gated Ion Channels,bioinformatics,1
直接随机重建显微镜（DSTORM）中的眨眼统计和分子计数,biophysics,1
硅疫苗设计中的线性B细胞表位预测：通过命令行界面可用的方法审查,bioinformatics,0
矩阵反转和子集选择（错过）：一种新型的管道，用于跨鼠大脑的各种细胞类型的定量映射,neuroscience,0
Estradiol-induced progesterone synthesis develops post-puberty in the rostral hypothalamus and coincides with post-pubertal changes in the steroidogenic pathway in female mouse hypothalamic astrocytes,neuroscience,1
Unravelling the genetic architecture of musical rhythm: a large-scale genome-wide association study of beat synchronization,genetics,0
揭示外周血及其衍生细胞中细胞类型特定转录程序的整合性新生RNA方法,molecular biology,0
Temperature predicts the maximum tree-species richness and water and frost shape the residual variation,ecology,0
Trading Mental Effort for Confidence in the Metacognitive Control of Value-Based Decision-Making,neuroscience,0
A multi-measure approach for assessing the performance of fMRI preprocessing strategies in resting-state functional connectivity,neuroscience,0
Personalized single-cell networks: a framework to predict the response of any gene to any drug for any patient,systems biology,0
药物：一种物种和组织特异性的药物签名数据库和用于药物重新利用的在线工具,systems biology,0
A small-molecule antagonist for the Tudor domain of SMN disrupts the interaction between SMN and RNAP II,biochemistry,0
用新兴特性推断询问神经计算的理论模型,neuroscience,1
Metabolic signatures of regulation by phosphorylation and acetylation,systems biology,1
ERBB2是听力恢复的关键调解人，聋哑成年小鼠,neuroscience,1
在联合环境中，神经影像数据集的隐私质量控制,neuroscience,1
Long-term warming effects on the microbiome and nitrogen fixation of a common moss species in sub-Arctic tundra,microbiology,0
如何表征共享空间使用网络,ecology,0
需要保护的最小土地面积，以保护生物多样性,ecology,1
星形胶质细胞样特异性基因死亡star对于雄性果蝇的正常发育，成人运动和寿命至关重要,genetics,1
着迷：一个动态适应于2D和3D钙成像数据的用户友好分析平台。,neuroscience,1
靶向癌症中细胞DNA损伤反应：基于体外校准的剂模型，模拟单层和球体治疗反应对ATR抑制药物,cancer biology,0
表征复杂区域疼痛综合征中的感觉运动适应,neuroscience,0
The genome of the zoonotic malaria parasite Plasmodium simium reveals adaptations to host-switching,genomics,0
Circulating miR-181 is a prognostic biomarker for amyotrophic lateral sclerosis,neuroscience,0
"Divergent sex-specific effects of an IgE receptor polymorphism: from immunity to health, and ultimately, fitness",ecology,1
Cellular Fitness Phenotypes of Cancer Target Genes from On-cobiology to Cancer Therapeutics,cancer biology,1
A comprehensive survey of developmental programs reveals a dearth of tree-like lineage graphs and ubiquitous regeneration,developmental biology,0
Advances in Spiral fMRI: A High-resolution Study with Single-shot Acquisition,neuroscience,1
肌细菌与企业噬菌体之间共同血统的证据,genomics,1
Inhibition of both mutant and wild-type RAS-GTP in KRAS G12C colorectal cancer through cotreatment with G12C and EGFR inhibitors,cancer biology,0
Automated identification of maximal differential cell populations in flow cytometry data,bioinformatics,0
除分类学识别外：对土壤细菌16S rRNA基因数据库的生态反应的整合。,microbiology,0
Effective downregulation of BCR-ABL tumorigenicity by RNA targeted CRISPR-Cas13a,molecular biology,0
射击引力中的自适应差异在澳大利亚野花中产生混合无菌性,evolutionary biology,0
Frequency selectivity of persistent cortical oscillatory responses to auditory rhythmic stimulation,neuroscience,0
重组和反对渗透的DNA的选择,evolutionary biology,0
疼痛感知的预测编码模型,neuroscience,0
Differential robustness to specific potassium channel deletions in midbrain dopaminergic neurons,neuroscience,1
Strand asymmetry influences mismatch resolution during single-strand annealing,genomics,0
菱形蛋白酶rhbdl4促进聚集蛋白的逆转转换以降解,cell biology,1
RAF构象自身抑制和14-3-3蛋白会促进自相矛盾的激活,cancer biology,0
