sentences,labels,sentences_zh
Graded recruitment of pupil-linked neuromodulation by parametric stimulation of the vagus nerve,neuroscience,通过对迷走神经的参数刺激对学生关联神经调节的分级募集
Tracking niche change through time: simultaneous inference of ecological niche evolution and estimation of contemporary niches,evolutionary biology,跟踪利基随着时间的变化：同时推断生态利基进化和当代生态位的估计
Predictive olfactory learning in Drosophila,neuroscience,果蝇的预测嗅觉学习
The co-stimulatory activity of Tim-3 requires Akt and MAPK signaling and immune synapse recruitment,immunology,TIM-3的共刺激活动需要AKT和MAPK信号传导和免疫突触募集
A standardized gnotobiotic mouse model harboring a minimal 15-member mouse gut microbiota recapitulates SOPF/SPF phenotypes,microbiology,具有最小的15成员肠道菌群的标准化gnotobiotic小鼠模型概括了SOPF/SPF表型
Engineering indel and substitution variants of diverse and ancient enzymes using Graphical Representation of Ancestral Sequence Predictions (GRASP),bioinformatics,使用祖先序列预测的图形表示（grasp）的工程indel和替代变体的替代变体
Designing signaling environments to steer transcriptional diversity in neural progenitor cell populations,systems biology,在神经祖细胞种群中设计信号环境以引导转录多样性
Effect of high-frequency low-intensity pulsed electric field on protecting SH-SY5Y cells against hydrogen peroxide and β-amyloid-induced cell injury via ERK pathway,neuroscience,高频低强度脉冲电场对通过ERK途径保护SH-SY5Y细胞免受过氧化氢和β-淀粉样蛋白诱导的细胞损伤的影响
Binary and analog variation of synapses between cortical pyramidal neurons,neuroscience,皮质锥体神经元之间突触的二元和类似物变化
Material category of visual objects computed from specular image structure,neuroscience,根据镜面图像结构计算的视觉对象的材料类别
An antigenic diversification threshold for falciparum malaria transmission at high endemicity,evolutionary biology,恶性疟疾传播的抗原多样性阈值高流行性
Epitope-tagging of the endogenous murine BiP/GRP78/Hspa5 locus allows direct analysis of the BiP interactome and protein misfolding in vivo.,molecular biology,内源性鼠BIP/GRP78/HSPA5基因座的表位标记可以直接分析BIP Itesconterome和蛋白质在体内的折叠率错折。
Plant Trans-Golgi Network/Early Endosome pH regulation requires Cation Chloride Cotransporter (CCC1),plant biology,植物反式高尔基网络/早期内体pH调节需要阳离子氯离子共转运蛋白（CCC1）
To Group or not to group: Group size dynamics and intestinal parasites in Indian peafowl populations,ecology,分组或不小组：印度孔雀种群中的小组大小动态和肠道寄​​生虫
Consequences of combining sex-specific life-history traits,evolutionary biology,结合性别特定生活历史特征的后果
