sentences,labels,sentences_zh
Efficient coding of numbers explains decision bias and noise,animal behavior and cognition,数字的有效编码解释了决策偏见和噪音
Endosomes facilitate mitochondrial clearance by enhancing Parkin recruitment to mitochondria,cell biology,内体通过增强Parkin募集到线粒体来促进线粒体清除
The transcriptional landscape of Venezuelan equine encephalitis virus (TC-83) infection,microbiology,委内瑞拉马脑炎病毒（TC-83）感染的转录景观
Social isolation modulates appetite and defensive behavior via a common oxytocinergic circuit in larval zebrafish,neuroscience,社会隔离通过幼虫斑马鱼中的常见催产症来调节食欲和防御行为
Quantitative dialing of gene expression via precision targeting of KRAB repressor,synthetic biology,通过krab抑制剂的精确靶向基因表达的定量拨号
Responses of tree species traits to soil variation in the Cerrado,ecology,树种特征对塞拉多的土壤变化的反应
Hierarchical dinucleotide distribution in genome along evolution and its effect on chromatin packing,evolutionary biology,沿进化的基因组中的分层二核苷酸分布及其对染色质填料的影响
Distinct information-seeking modes in healthy and addicted individuals,neuroscience,健康和上瘾的人的独特信息寻求信息
The expression of hemagglutinin by a recombinant Newcastle disease virus causes structural changes and alters innate immune sensing,microbiology,纽卡斯尔疾病病毒通过重组疾病的表达会引起结构变化并改变先天的免疫感应
Neuroligin-mediated neurodevelopmental defects are induced by mitochondrial dysfunction and prevented by lutein in C. elegans,neuroscience,神经素介导的神经发育缺陷是通过线粒体功能障碍诱导的，并由叶黄素在秀丽隐杆线虫中预防
