sentences,labels,sentences_zh
"Matrix-Assisted Laser Desorption-Ionization Time-of-Flight mass spectrometry using a custom-made database, biomarker assignment, or mathematical classifiers does not differentiate Shigella spp. and Escherichia coli",microbiology,使用定制的数据库，生物标志物分配或数学分类器，矩阵辅助激光解吸量电离时间质谱法不会区分Shigella spp。和大肠杆菌
Better tired than lost: turtle ant trail networks favor coherence over shortest edges,ecology,比失落更好的疲倦：乌龟蚂蚁步道网络比最短边缘相互连贯
Elucidating the Molecular Basis of pH Activation of an Engineered Mechanosensitive Channel,biophysics,阐明工程机械敏感通道的pH激活的分子基础
Balanced polymorphism at the Pgm-1 locus of the Pompeii worm Alvinella pompejana and its variant adaptability is only governed by two QE mutations at linked sites,evolutionary biology,Pompeii蠕虫Alvinella Pompejana及其变异适应性的PGM-1基因座的平衡多态性仅受链接位点的两个QE突变的控制
Multiple probabilistic models extract features from protein sequence data and resolve functional diversity of very different protein families,bioinformatics,多种概率模型从蛋白质序列数据中提取特征，并解析了非常不同蛋白质家族的功能多样性
Assigning metabolic rate measurements to torpor and euthermia in heterothermic endotherms: torpor a new package for R.,physiology,将代谢率测量分配给异性吸气的Torpor和Euthermia：Torpor。
Non-cell autonomous OTX2 transcription factor regulates anxiety-related behaviors in the mouse,neuroscience,非细胞自主OTX2转录因子调节小鼠中与焦虑相关的行为
Calcium-permeable AMPA receptors mediate timing-dependent LTP elicited by low repeat coincident pre- and postsynaptic activity at Schaffer collateral-CA1 synapses,neuroscience,钙 - 可渗透的AMPA受体介导了定时依赖性的LTP，该LTP在Schaffer Carteratral-CA1突触中引起的低重复重合前和突触后活性引起
Endocycles support tissue growth and regeneration of the adult Drosophila accessory gland,developmental biology,内猫支持成年果蝇附属腺的组织生长和再生
Out of the blue; Phototropins of the leaf vascular bundle sheath mediate the blue light regulation of the leaf hydraulic conductance,plant biology,从蓝色出来；叶血管束鞘的光胞蛋白介导叶子液压电导的蓝光调节
Immune Regulation of Intestinal Stem Cell Proliferation and Differentiation in Drosophila.,immunology,果蝇中肠道干细胞增殖和分化的免疫调节。
